ID,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
1,envira,darkred,grey,,Märchenwald Bad Breisig,http://maerchenwald-bad-breisig.de/wp-content/uploads/2015/01/zwerge1.jpg,"<b>Märchenwald, Märchenlehrpfad</b> - Website: <a href=""http://maerchenwald-bad-breisig.de/"" target=""_blank"">http://maerchenwald-bad-breisig.de/</a>","Am Kesselberg 19, 53498 Bad Breisig",50.5144095,7.2898852,"Am Kesselberg 19, 53498 Bad Breisig, Germany",Match,Google
2,envira,darkgreen,,,Märchenwald Altenberg,http://maerchenwald-altenberg.de/wordpress/wp-content/uploads/2016/07/Geburtstag.jpg,"<b>Märchenwald, Gastronomie, Hotel, Feiern</b> - Website: <a href=""http://maerchenwald-altenberg.de/"" target=""_blank"">http://maerchenwald-altenberg.de/</a>","Märchenwaldweg 15, 51519 Odenthal",51.05943,7.13235,"Märchenwaldweg 15, 51519 Odenthal, Germany",Match,Google
3,envira,darkpurple,,,Märchenwald Sambachshof,http://www.maerchenwald-sambachshof.de/cache/widgetkit/gallery/72/01-df9e75210f.jpg,"<b>Märchenwald, Fahrattraktionen, Spiel&Spaß</b> - Website: <a href=""http://www.maerchenwald-sambachshof.de/"" target=""_blank"">http://www.maerchenwald-sambachshof.de/</a>","Sambachshof 1, 97631 Bad Königshofen i. Grabfeld",50.24459,10.46022,"Sambachshof 1, 97631 Bad Königshofen i. Grabfeld, Germany",Match,Google
4,envira,darkblue,,,Kraichgau Märchenwald,http://maerchenwald-kuernbach.de/images/willkommen_2.png,"<b>Märchenwald, Fahrgeschäfte, Spiel&Spaß, Labyrinth</b> - Website: <a href=""http://maerchenwald-kuernbach.de/index.php"" target=""_blank"">http://maerchenwald-kuernbach.de/index.php</a>","Klosterstraße 101, 75057 Kürnbach",49.076708,8.849205,"Klosterstraße 101, 75057 Kürnbach, Germany",Match,Google
5,envira,lightblue,,,Märchenwald Bad Harzburg,http://www.maerchenwald-harz.de/s/cc_images/thumb_2418968954.jpg?t=1340712220,"<b>Märchenwald, Kinderverkehrgarten, Modellbauten, Spiel&Spaß, SAFARI-Express</b> - Website: <a href=""http://www.maerchenwald-harz.de/"" target=""_blank"">http://www.maerchenwald-harz.de/</a>","Nordhäuser Strasse 1 a, 38667 Bad Harzburg",51.87112,10.56061,"Nordhäuser Str. 1A, 38667 Bad Harzburg, Germany",Match,Google
6,envira,darkgreen,,,Freizeitpark Sommerrodelbahn Ibbenbüren,http://www.sommerrodelbahn.de/uploads/images/content/maerchenwald/maerchenbuch_comp3.png,"<b>Märchenwald, Sommerrodelbahn, Weltreise, Freizeitpark</b> - Website: <a href=""http://www.sommerrodelbahn.de/startseite.html"" target=""_blank"">http://www.sommerrodelbahn.de/startseite.html</a>","Münsterstraße 265, 49479 Ibbenbüren",52.2509284,7.7053148,"Münsterstraße 265, 49479 Ibbenbüren, Germany",Match,Google
7,envira,darkgreen,,,Freizeitpark Ittertal,https://scontent.ftxl1-1.fna.fbcdn.net/v/t1.0-0/c33.0.200.200/p200x200/181651_561738697199614_565902619_n.jpg?oh=6b384f270c947a3f45a790ec0dd79660&oe=5A1F8826,"<b>Märchenwald, Historischer Spiel- und Freizeitpark</b> - Website: <a href=""http://www.ittertal.com/"" target=""_blank"">http://www.ittertal.com/</a>","Ittertalstraße 50, 42719 Solingen",51.1921169,7.0401204,"Ittertalstraße 50, 42719 Solingen, Germany",Match,Google
8,envira,lightred,,,Märchenwald Obrunnschlucht,http://www.streetec.net/obrunnschlucht/start.jpg,"<b>Märchenwald der ganz zauberhaften Art</b> - Website: <a href=""http://www.obrunnschlucht.de/"" target=""_blank"">http://www.obrunnschlucht.de/</a>","Themenpark, 64739 Höchst im Odenwald",49.7848412,9.014766,"64739 Höchst im Odenwald, Germany",Match,Google
9,envira,darkgreen,,,Märchenzoo Blauer See,http://www.maerchenzoo.de/gallery2/main.php?g2_view=core.DownloadItem&g2_itemId=234&g2_serialNumber=2,"<b>Märchenwald, Märchenzoo, </b> - Website: <a href=""http://www.maerchenzoo.de/"" target=""_blank"">http://www.maerchenzoo.de/</a>","Zum Blauen See 22, 40878 Ratingen",51.30725,6.86153,"Zum Blauen See 22, 40878 Ratingen, Germany",Match,Google
10,envira,lightred,,,Märchenwald Burgschwalbach,http://fotos.verwaltungsportal.de/gallery/1/0/7/4/4/gross/3832904638.jpg,"<b>Märchenwald</b> - Website: <a href=""http://www.heimatverein-burgschwalbach.de/galerie/10744/m%C3%A4rchenwald.html"" target=""_blank"">http://www.heimatverein-burgschwalbach.de/galerie/10744/m%C3%A4rchenwald.html</a>","Hinter den Zäunen 19, 65558 Burgschwalbach",50.2822672,8.0772004,"Hinter den Zäunen 19, 65558 Burgschwalbach, Germany",Match,Google
